[Mon May 04 05:04:28.399456 2020] [access_compat:error] [pid 3382] [client 193.186.170.59:34156] AH01797: client denied by server configuration: /usr/share/phpmyadmin/scripts
[Mon May 04 12:27:01.640184 2020] [access_compat:error] [pid 6875] [client 106.12.60.189:33748] AH01797: client denied by server configuration: /usr/share/phpmyadmin/scripts
[Mon May 04 21:42:42.216396 2020] [access_compat:error] [pid 6874] [client 140.143.189.159:36944] AH01797: client denied by server configuration: /usr/share/phpmyadmin/scripts
[Tue May 05 05:33:38.466255 2020] [:error] [pid 6875] [client 127.0.0.1:52152] script '/var/www/apache/html/news.php' not found or unable to stat
[Tue May 05 06:03:53.000511 2020] [:error] [pid 6875] [client 127.0.0.1:52166] script '/var/www/apache/html/l.php' not found or unable to stat
[Tue May 05 06:03:53.483927 2020] [:error] [pid 6876] [client 127.0.0.1:52170] script '/var/www/apache/html/test.php' not found or unable to stat
[Tue May 05 06:03:53.953904 2020] [:error] [pid 9462] [client 127.0.0.1:52174] script '/var/www/apache/html/bbs.php' not found or unable to stat
[Tue May 05 06:03:54.183999 2020] [:error] [pid 6873] [client 127.0.0.1:52176] script '/var/www/apache/html/forum.php' not found or unable to stat
[Tue May 05 06:03:54.414720 2020] [:error] [pid 6874] [client 127.0.0.1:52178] script '/var/www/apache/html/forums.php' not found or unable to stat
[Tue May 05 06:03:57.418082 2020] [:error] [pid 9462] [client 127.0.0.1:52202] script '/var/www/apache/html/help.php' not found or unable to stat
[Tue May 05 06:03:57.648040 2020] [:error] [pid 6873] [client 127.0.0.1:52204] script '/var/www/apache/html/java.php' not found or unable to stat
[Tue May 05 06:03:57.879162 2020] [:error] [pid 6874] [client 127.0.0.1:52206] script '/var/www/apache/html/_query.php' not found or unable to stat
[Tue May 05 06:03:58.109276 2020] [:error] [pid 6875] [client 127.0.0.1:52208] script '/var/www/apache/html/test.php' not found or unable to stat
